links,names
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9595,Shyamsundar Dagdoji Shinde
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10966,Shinde Babanrao Vitthalrao
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7586,Prakash Rajaram Surve
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7563,Gogawale Bharat Maruti
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9921,Sada Sarvankar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10956,Prakash Sundarrao Solanke
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7748,Mangalprabhat Lodha
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8801,Aslam Ramzanali Shaikh
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9368,Mohammed Ismail Abdul Khalique
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10929,Bhuse Dadaji Dagdu
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7895,Ekade Rajesh Panditrao
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10909,Ram Vitthal Satpute
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8086,Jaykumar Bhagwanrao Gore
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7749,Abu Asim Azmi
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8090,Sunil Shankarrao Shelke
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10888,Geeta Bharat Jain
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7889,Sanjay Bhaskar Raymulkar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9455,Rajkumar Dayaram Patel
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7887,Dr. Suresh (Bhau) Dagadu Khade
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7752,Mane Yashwant Vitthal
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8111,Devendra Mahadevrao Bhuyar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9609,Tushar Govindrao Rathod
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7884,Chandrakant Nimba Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8754,Kotecha Mihir Chandrakant
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9935,Amin Patel
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9833,Awhad Jitendra Satish
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9827,Kisan Shankar Kathore
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10837,Harish Marotiappa Pimpale
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8980,Vikas Shankarrao Kumbhare
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8995,Krushna Pancham Khopde
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9347,Dr. Nitin Raut
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9476,Mohan Gopalrao Mate
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9322,Devendra Gangadharrao Fadnavis
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8359,Vikas Pandurang Thakre
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9742,Rajesh Sambhajirao Pawar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10086,Kshitij Hitendra Thakur
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10788,Balaji Devidasrao Kalyankar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10746,Mohanrao Marotrao Hambarde
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9702,Suhas Dwarkanath Kande
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8136,Vijaykumar Krushnarao Gavit
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9790,Seema Mahesh Hiray (Seematai)
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9379,Devyani Suhas Pharande
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10684,Rahul Uattamrao Dhikle
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8914,Naik Shirishkumar Surupsing
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7548,Shankarrao Yashwantrao Gadakh
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10650,Nilangekar Sambhaji Diliprao Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9778,Bankar Diliprao Shankarrao
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7985,Chougule Dnyanraj Dhondiram
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10232,Kailas Balasaheb Ghadge Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7779,Pratap Baburao Sarnaik
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8671,Kishor Dhansing Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9687,Bhumare Sandipanrao Asaram
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10072,Shrinivas Chintaman Vanga
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10092,Kadam Vishwajeet Patangrao
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10248,Bhalake Bharat Tukaram
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10265,Prashant Ramsheth Thakur
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10271,Tanaji Jaywant Sawant
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10281,Dr. Rahul Vedprakash Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10293,Dhananjay Panditrao Munde
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7790,Nilesh Dnyandev Lanke
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7788,Babanrao Dattatrya Yadav(Lonikar)
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8291,Madhuri Satish Misal
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10204,Desai Shambhuraj Shivajirao
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9644,Warpudkar Suresh Ambadasrao
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7851,Ravisheth Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10211,Dipak Pralhad Chavan
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10329,Bagde Haribhau Kisanrao
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10338,Anna Dadu Bansode
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8282,Kamble Sunil Dnyandev
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7554,Sanjay Chandrakant Jagtap
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9565,Naik Indranil Manohar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7845,Abitkar Prakash Anandrao
https://myneta.info/maharashtra2019/candidate.php?candidate_id=11094,Prajakt Prasadrao Tanpure
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8211,Rajan Prabhakar Salvi
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8390,Subhash Ramchandrarao Dhote
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9545,Ashok Ramaji Wooike (Uike)
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8438,Ashish Nandkishor Jaiswal
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10190,Uday Ravindra Samant
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8968,Chaudhari Shirish Madhukarrao
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8945,Amit Subhashrao Zanak
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9498,Nanabhau Falgunrao Patole
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9315,Manjula Tulshiram Gavit
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10106,Dhananjay Alias Sudhir Hari Gadgil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7476,Vijay Alias Balasaheb Bhausaheb Thorat
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10484,Shahaji Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7628,Bhonsle Shivendrasinh Abhaysinhraje
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8342,Sunil Chhatrapal Kedar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8209,Deepak Vasantrao Kesarkar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8901,Rajesh Udesing Padavi
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8152,Daulat Bhika Daroda
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7834,Dr. Vinay Vilasrao Kore
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10524,Monica Rajeev Rajale
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10098,Mansing Fattesingrao Naik
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8275,Vikhe Patil Radhakrishna Eknathrao
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10124,Rajendra Shamgonda Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8651,Kashiram Vechan Pawara
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7826,Ashok Raosaheb Pawar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8305,Ajay Vinayak Choudhari
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8277,Siddharth Anil Shirole
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7562,Pachpute Babanrao Bhikaji
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10588,Kanade Lahu Natha
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10598,Aditi Sunil Tatkare
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7738,Abdul Sattar Abdul Nabi
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9419,Dr. Rajendra Bhaskarrao Shingane
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8008,Jaykumar Jitendrasinh Rawal
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7575,Adv. Kokate Manikrao Shivajirao
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9855,Captain R Tamil Selvan
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8246,Praniti Shushilkumar Shinde
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8253,Deshmukh Vijaykumar Sidramappa
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8004,Deshmukh Subhash Sureshchandra
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9919,Sumanvahini R.R. (Aba) Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9443,Adv. Yashomati Chandrakant Thakur
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7998,Kelkar Sanjay Mukund
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7994,Vijay Rahangdale
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7993,Ranajagjitsinha Padmasinha Patil
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9876,Karemore Raju Manikrao
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7815,Bansode Sanjay Baburao
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10634,Kumar Uttamchand Ailani
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8455,Namdev Jayram Sasane
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9726,Raju Devnath Parwe
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7642,Mahesh Baldi
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8571,Sunil Vijay Tingre
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9411,Bornare Ramesh Nanasaheb
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7966,Ashish Babaji Shelar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7967,Zeeshan Baba Siddique
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7963,Dr. Bharati Lavekar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7637,Hitendra Vishnu Thakur
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8518,Sunil Chandrakant Bhuasara
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8534,Raut Sunil Rajaram
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7960,Alavani Parag
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8504,Kalidas Nilkanth Kolambkar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7957,Makrand Laxmanrao Jadhav (Patil)
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7954,Sanjivreddy Bapurao Bodkurwar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7950,Dr. Pankaj Rajesh Bhoyar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7706,Dhanorkar Pratibha Suresh
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7808,Lakhan Sahadeo Malik
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7943,Aditya Thackeray
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8467,Madan Madhukar Yerawar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8458,Chhagan Chandrakant Bhujbal
