Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
14,Dilip Dattatray Walse-Patil,AMBEGAON,NCP,1,Post Graduate,"Rs 5,66,67,949 ~ 5 Crore+","Rs 1,13,28,144 ~ 1 Crore+"
15,Sahasram Maroti Korote,AMGAON (ST),INC,1,Graduate,"Rs 5,15,61,535 ~ 5 Crore+","Rs 18,15,000 ~ 18 Lacs+"
16,Sulbha Sanjay Khodke,AMRAVATI,INC,1,Post Graduate,"Rs 6,22,76,412 ~ 6 Crore+","Rs 1,58,64,987 ~ 1 Crore+"
17,Ameet Bhaskar Satam,ANDHERI  WEST,BJP,0,Post Graduate,"Rs 6,45,06,983 ~ 6 Crore+","Rs 62,96,126 ~ 62 Lacs+"
18,Ramesh Kondiram Latke,ANDHERI EAST,SHS,0,10th Pass,"Rs 4,72,77,150 ~ 4 Crore+","Rs 1,34,40,671 ~ 1 Crore+"
19,Mohammed Nawab Malik,ANUSHAKTI NAGAR,NCP,0,12th Pass,"Rs 5,74,69,772 ~ 5 Crore+","Rs 45,30,437 ~ 45 Lacs+"
20,Chandrikapure Manohar Gowardhan,ARJUNI MORGAON (SC),NCP,0,Graduate,,"Rs 1,47,00,000 ~ 1 Crore+"
21,Gajbe Krushna Damaji,ARMORI (ST),BJP,0,Graduate,"Rs 80,30,574 ~ 80 Lacs+","Rs 1,65,947 ~ 1 Lacs+"
22,Sandeep Prabhakar Dhurve,ARNI (ST),BJP,1,Graduate Professional,"Rs 2,80,11,629 ~ 2 Crore+","Rs 10,81,578 ~ 10 Lacs+"
23,Dadarao Yadaorao Keche,ARVI,BJP,0,Graduate,"Rs 1,27,64,167 ~ 1 Crore+","Rs 18,17,676 ~ 18 Lacs+"
24,Ajabe Balasaheb Bhausaheb,ASHTI,NCP,0,12th Pass,"Rs 1,51,90,008 ~ 1 Crore+","Rs 90,800 ~ 90 Thou+"
25,Jaiswal Pradeep Shivnarayan,AURANGABAD (CENTRAL),SHS,6,8th Pass,"Rs 32,87,82,403 ~ 32 Crore+","Rs 4,98,65,057 ~ 4 Crore+"
26,Sanjay Pandurang Shirsat,AURANGABAD (WEST) (SC),SHS,0,12th Pass,"Rs 3,36,93,491 ~ 3 Crore+","Rs 1,34,49,388 ~ 1 Crore+"
27,Atul Moreshwar Save,AURANGBAD (EAST),BJP,6,Graduate,"Rs 22,06,22,785 ~ 22 Crore+","Rs 2,16,50,226 ~ 2 Crore+"
28,Abhimanyu Dattatray Pawar,AUSA,BJP,1,Post Graduate,"Rs 1,15,76,455 ~ 1 Crore+","Rs 19,05,000 ~ 19 Lacs+"
29,Kuche Narayan Tilakchand,BADNAPUR (SC),BJP,1,Graduate,"Rs 3,23,57,179 ~ 3 Crore+","Rs 18,03,681 ~ 18 Lacs+"
30,Ravi Rana,BADNERA,IND,7,12th Pass,,"Rs 7,80,16,373 ~ 7 Crore+"
31,Dilip Mangalu Borse,BAGLAN (ST),BJP,0,Graduate,"Rs 3,53,31,557 ~ 3 Crore+","Rs 3,50,48,306 ~ 3 Crore+"
32,Nitin Bhikanrao Tale,BALAPUR,SHS,5,12th Pass,"Rs 1,61,54,600 ~ 1 Crore+","Rs 33,370 ~ 33 Thou+"
33,Mungantiwar Sudhir Sachchidanand,BALLARPUR,BJP,2,Post Graduate,"Rs 11,42,34,951 ~ 11 Crore+","Rs 1,59,92,862 ~ 1 Crore+"
34,Ajit Aanantrao Pawar,BARAMATI,NCP,1,10th Pass,"Rs 75,48,51,067 ~ 75 Crore+","Rs 3,73,70,371 ~ 3 Crore+"
35,Rajendra Vitthal Raut,BARSHI,IND,6,12th Pass,"Rs 27,85,38,135 ~ 27 Crore+","Rs 16,33,34,618 ~ 16 Crore+"
36,Chandrakant Alias Rajubhaiyya Ramakant Nawghare,BASMATH,NCP,0,12th Pass,"Rs 92,50,598 ~ 92 Lacs+","Rs 12,64,537 ~ 12 Lacs+"
37,Sandeep Ravindra Kshirsagar,BEED,NCP,5,Graduate,"Rs 7,63,33,000 ~ 7 Crore+","Rs 2,96,01,000 ~ 2 Crore+"
38,Manda Vijay Mhatre,BELAPUR,BJP,1,5th Pass,"Rs 23,57,88,270 ~ 23 Crore+","Rs 4,13,25,643 ~ 4 Crore+"
39,Narendra Bhojraj Bhondekar,BHANDARA (SC),IND,4,Graduate,"Rs 3,58,32,435 ~ 3 Crore+","Rs 2,60,59,360 ~ 2 Crore+"
40,Ramesh Gajanan Korgaonkar,BHANDUP  WEST,SHS,3,8th Pass,,"Rs 98,98,496 ~ 98 Lacs+"
